,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2025-05-16 10:08:11,2025-05-16 10:08:06,36262.0,1052.0,569.0,63.0,6092.0,676.0,1594.0,5519.0,2025-05-01 09:13:00,4.19.0,887301.0,17063.0,75.0,226.0,33,True,1,,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2025-05-16 10:44:49,2025-05-16 10:01:02,20649.0,2406.0,404.0,36.0,24472.0,250.0,222.0,1948.0,,,,,,440.0,25,True,2,,,
2,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2025-04-30 12:04:36,2025-04-30 12:04:35,357.0,12.0,43.0,17.0,80.0,27.0,57.0,376.0,2025-04-30 12:07:48,4.1.1,1219032.0,14341.0,66.0,26.0,22,True,2,1.0,,
3,LeanCopilot,lean-dojo/LeanCopilot,tool,LLMs as Copilots for Theorem Proving in Lean.,https://github.com/lean-dojo/LeanCopilot,https://github.com/lean-dojo/LeanCopilot,MIT,2023-09-09 01:52:22,2025-05-12 11:21:31,2025-05-12 11:21:31,826.0,90.0,100.0,14.0,98.0,4.0,54.0,1091.0,2025-05-02 21:51:52,4.19.0,3807.0,190.0,37.0,14.0,20,True,1,,,
4,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2025-04-30 15:58:16,2025-04-30 15:58:08,2707.0,37.0,63.0,11.0,376.0,49.0,178.0,210.0,2025-04-30 16:00:36,0.0.205,539.0,16.0,100.0,65.0,20,True,1,,,
5,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2025-05-02 21:48:12,2025-05-02 21:47:46,394.0,30.0,36.0,7.0,91.0,13.0,14.0,135.0,2025-05-02 21:49:51,0.0.59,595113.0,21254.0,88.0,18.0,19,True,1,,,
6,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover-community/batteries,https://github.com/leanprover-community/batteries,Apache-2.0,2022-08-28 15:23:46,2025-05-16 10:12:14,2025-05-15 10:52:18,1052.0,30.0,118.0,15.0,1161.0,24.0,44.0,301.0,2025-05-01 11:11:40,4.19.0,21.0,3.0,16.0,70.0,18,True,3,-1.0,leanprover-community/batteries,
7,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2025-05-16 08:54:13,2025-05-08 09:45:46,1141.0,41.0,42.0,11.0,66.0,90.0,163.0,258.0,2024-04-10 13:24:11,4.7.0,,,10.0,24.0,18,True,1,-1.0,,
8,LeanDojo,lean-dojo/LeanDojo,tool,Tool for data extraction and interacting with Lean programmatically.,https://github.com/lean-dojo/LeanDojo,https://github.com/lean-dojo/LeanDojo,MIT,2023-06-13 22:04:26,2025-05-08 01:24:00,2025-05-08 01:24:00,604.0,7.0,103.0,14.0,125.0,8.0,72.0,664.0,2024-12-08 17:07:11,2.2.0,,,34.0,17.0,16,True,2,,,
9,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,Hosts the website for mathlib and other Lean community infrastructure.,https://github.com/leanprover-community/leanprover-community.github.io,https://leanprover-community.github.io/mathlib-overview.html,MIT,2019-01-20 17:06:26,2025-05-16 04:09:49,2025-05-15 14:20:40,10324.0,38.0,140.0,12.0,587.0,16.0,23.0,62.0,,,,,,133.0,16,True,1,-1.0,,
