,name,github_id,category,description,homepage,contributor_count,projectrank,show,projectrank_placing,trending,labels,pypi_id,pypi_url
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,{},291.0,2,False,1.0,,,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,{},825.0,2,False,1.0,,,,
2,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://adam.math.hhu.de/,37.0,2,True,1.0,,,,
3,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,,https://leanprover-community.github.io/mathlib-overview.html,175.0,2,False,1.0,,,,
4,std4,leanprover/std4,core,Standard Library.,{},87.0,1,False,3.0,,,,
5,doc-gen4,leanprover/doc-gen4,core,Document Generator.,{},49.0,1,False,3.0,,,,
6,elan,leanprover/elan,core,Version Manager.,{},31.0,1,False,3.0,,,,
7,aesop,leanprover-community/aesop,package,Proof search tactic (Automated Extensible Search for Obvious Proofs).,{},32.0,1,False,1.0,,,,
8,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,,{},22.0,1,False,1.0,,,,
9,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,{},74.0,1,False,1.0,,,,
10,lean4web,leanprover-community/lean4web,tool,Web editor.,https://live.lean-lang.org/,19.0,1,True,1.0,,,,
11,LeanDojo,lean-dojo/LeanDojo,tool,,{},22.0,1,False,1.0,,,,
12,Reservoir,leanprover/reservoir,tool,Lakes package registry.,https://reservoir.lean-lang.org/,4.0,1,True,1.0,-10.0,,,
13,(Mathlib4) General Documentation (API Reference),leanprover-community/mathlib4_docs,cheatsheet,Official Mathlib API Reference.,https://leanprover-community.github.io/mathlib4_docs/,7.0,1,True,2.0,,,,
14,Moogle: Semantic search over mathlib4,,cheatsheet,Better performance (latency) than `General Documentation`.,https://www.moogle.ai/,,1,True,2.0,,,,
15,Lean by Example,lean-ja/lean-ja.github.io,cheatsheet,Lean.,https://lean-ja.github.io/lean-by-example/,3.0,1,True,2.0,,['ja'],,
