,name,github_id,category,description,homepage,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,monthly_downloads,labels,new_addition
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,{},295.0,2,False,1.0,,,,,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,{},847.0,2,False,1.0,,,,,,
2,mathlas,Archerkattri/mathlas,tool,MCP server that lets AI agents check proofs with the Lean 4 kernel and search mathlib (via Loogle/LeanSearch).,{},,2,False,1.0,mathlas-mcp,https://pypi.org/project/mathlas-mcp,518.0,518.0,,
3,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://adam.math.hhu.de/,37.0,2,True,1.0,,,,,,
4,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,,https://leanprover-community.github.io/mathlib-overview.html,176.0,2,False,1.0,,,,,,
5,std4,leanprover/std4,core,Standard Library.,{},88.0,1,False,3.0,,,,,,
6,doc-gen4,leanprover/doc-gen4,core,Document Generator.,{},50.0,1,False,3.0,,,,,,
7,elan,leanprover/elan,core,Version Manager.,{},31.0,1,False,3.0,,,,,,
8,aesop,leanprover-community/aesop,package,Proof search tactic (Automated Extensible Search for Obvious Proofs).,{},32.0,1,False,1.0,,,,,,
9,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,,{},22.0,1,False,1.0,,,,,,
10,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,{},74.0,1,False,2.0,,,,,,
11,lean4web,leanprover-community/lean4web,tool,Web editor.,https://live.lean-lang.org/,19.0,1,True,2.0,,,,,,
12,LeanDojo,lean-dojo/LeanDojo,tool,,{},22.0,1,False,2.0,,,,,,
13,Reservoir,leanprover/reservoir,tool,Lakes package registry.,https://reservoir.lean-lang.org/,4.0,1,True,2.0,,,,,,
14,(Mathlib4) General Documentation (API Reference),leanprover-community/mathlib4_docs,cheatsheet,Official Mathlib API Reference.,https://leanprover-community.github.io/mathlib4_docs/,7.0,1,True,2.0,,,,,,
15,Moogle: Semantic search over mathlib4,,cheatsheet,Better performance (latency) than `General Documentation`.,https://www.moogle.ai/,,1,True,2.0,,,,,,
16,Lean by Example,lean-ja/lean-ja.github.io,cheatsheet,Lean.,https://lean-ja.github.io/lean-by-example/,3.0,1,True,2.0,,,,,['ja'],
17,`#help` command output,,cheatsheet,"Output of `#help option`, `#help attr`, ... shown in `Lean 4 Web`.",https://live.lean-lang.org/#code=import%20Mathlib.Tactic%0D%0A%0D%0A%23help%20option%0D%0A%23help%20attr%0D%0A%23help%20cats%0D%0A%23help%20term%0D%0A%23help%20tactic%0D%0A%23help%20conv%0D%0A%23help%20command%0D%0A,,1,True,2.0,,,,,,
18,The Lean Reference Manual,,tutorial,Official Lean 3 Reference Manual.,https://lean-lang.org/reference/index.html,,1,True,1.0,,,,,['lean3'],
19,Mathematics in Lean,leanprover-community/mathematics_in_lean,tutorial,Note that there are many parts of the documentation at leanprover-community.github.io that have not been updated.,https://leanprover-community.github.io/mathematics_in_lean/,3.0,1,True,1.0,,,,,,
20,A Lean 4 Metaprogramming Book,leanprover-community/lean4-metaprogramming-book,tutorial,Practical manual with code that goes into the internal concepts of Lean 4.,{},32.0,1,False,1.0,,,,,,
21,The mechanics of proof,hrmacbeth/math2001,tutorial,Early university level course.,https://hrmacbeth.github.io/math2001/,,1,True,1.0,,,,,,
22,Lean Manual,,tutorial,Official Manual.,https://lean-lang.org/lean4/doc/do.html,,1,True,1.0,,,,,,
23,Theorem Proving in Lean 4,leanprover/theorem_proving_in_lean4,tutorial,,https://lean-lang.org/theorem_proving_in_lean4/,86.0,1,False,1.0,,,,,,
24,K-Lean,Heime-Jorgen/kenosian-lean4,package,"64 machine-verified contracts for computational biology. sorry-free. Covers Michaelis-Menten, Hill equation, SIR..",https://kpp.kenosian.com/k-lean.html,,1,True,1.0,,,,,,
25,Zulip chat for discussions about Lean and mathlib,,community,Official community.,https://leanprover.zulipchat.com/,,1,True,1.0,,,,,,
26,Lean 4 Anarchy (Discord),,community,Anarchy discord server.,https://discord.com/invite/WZ9bs9UCvx,,1,True,1.0,,,,,,
27,Links (lean-lang.org),,awesome,Official collection of links.,https://lean-lang.org/links/,,1,True,1.0,,,,,,
28,LEAN JA リンク集,lean-ja/lean-ja.github.io,awesome,Japanese translated versions of several tutorials are available. ().,https://lean-ja.github.io/links/,3.0,1,True,1.0,,,,,['ja'],
29,lean4 - Where is the syntax of Lean 4 documented? - Proof Assistants Stack Exchange,,awesome,Discussion regarding Lean 4 documentation.,https://proofassistants.stackexchange.com/questions/2305/where-is-the-syntax-of-lean-4-documented,,1,True,1.0,,,,,,
30,lean4 - YouTube,,movie,YouTube movies.,https://www.youtube.com/results?search_query=lean4,,1,True,1.0,,,,,,
31,人気の「Lean」動画 14本 - ニコニコ動画,,movie,Niconico movies. Entertaining instructions using TTS software have been uploaded.,https://www.nicovideo.jp/tag/Lean,,1,True,1.0,,,,,['ja'],
32,quote4,leanprover-community/quote4,core,,{},15.0,0,False,,,,,,,
33,llmstep,wellecks/llmstep,package-meta,,{},5.0,0,False,,,,,,,
